history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2019-09-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1354,68;1342,55;1358,67;1339,11;733557383,052;0;0;2;159487358918;USD;117730912,775000
RTSI;RTSI;2019-09-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1343,95;1338,65;1343,95;1330,38;708029416,17;0;0;2;158224031099;USD;117730912,775000
RTSI;RTSI;2019-09-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1340,14;1343,16;1349,9;1336,73;459598211,438;0;0;2;157775921073;USD;117730912,775000
RTSI;RTSI;2019-09-06;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1340,52;1334,57;1342,5;1328,02;643188815,848;0;0;2;157820208593;USD;117730912,775000
RTSI;RTSI;2019-09-05;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1337,92;1332,36;1344,75;1332,36;937324159,92;0;0;2;157514831761;USD;117730912,775000
RTSI;RTSI;2019-09-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1330,77;1315,1;1332,73;1315,1;1024354376,7;0;0;2;156672970619;USD;117730912,775000
RTSI;RTSI;2019-09-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1303,49;1306,76;1307,28;1297,74;1032235898,08;0;0;2;153460943994;USD;117730912,775000
RTSI;RTSI;2019-09-02;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1309,22;1293,9;1310,63;1292,86;674062004,319;0;0;2;154135571630;USD;117730912,775000
RTSI;RTSI;2019-08-30;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1293,32;1285,55;1297,68;1284,85;820237104,022;0;0;2;152263550686;USD;117730912,775000
RTSI;RTSI;2019-08-29;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1284,94;1264,18;1284,94;1261,97;706929245,428;0;0;2;151277631767;USD;117730912,775000
RTSI;RTSI;2019-08-28;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1266,71;1260,45;1267,41;1250,87;654565428,728;0;0;2;149130746472;USD;117730912,775000
RTSI;RTSI;2019-08-27;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1258,6;1268,86;1269,98;1248,32;1028576374,23;0;0;2;148175779984;USD;117730912,775000
RTSI;RTSI;2019-08-26;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1268,25;1265,4;1276,24;1260,45;380689140,765;0;0;2;149311947648;USD;117730912,775000
RTSI;RTSI;2019-08-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1268,45;1286,45;1288,49;1267,62;595346130,561;0;0;2;149335560659;USD;117730912,775000
RTSI;RTSI;2019-08-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1282,63;1280,98;1288,28;1276,17;577293610,401;0;0;2;151005775252;USD;117730912,775000
RTSI;RTSI;2019-08-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1280,19;1267,54;1281,8;1262,74;542367033,415;0;0;2;150717831007;USD;117730912,775000
RTSI;RTSI;2019-08-20;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1264,59;1248,39;1265,22;1245,85;628296792,301;0;0;2;148881313431;USD;117730912,775000
RTSI;RTSI;2019-08-19;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1247,53;1244,4;1253,34;1233,19;620752230,668;0;0;2;146873346680;USD;117730912,775000
RTSI;RTSI;2019-08-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1239,81;1257,3;1261,09;1239,81;562245068,591;0;0;2;145963990670;USD;117730912,775000
RTSI;RTSI;2019-08-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1250,13;1260,76;1268,73;1241,12;735207121,367;0;0;2;147178516532;USD;117730912,775000
RTSI;RTSI;2019-08-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1259,68;1302,88;1304,47;1255,79;710725632,965;0;0;2;148303795392;USD;117730912,775000
RTSI;RTSI;2019-08-13;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1297,85;1294,95;1306,46;1277,68;698087184,969;0;0;2;152796887970;USD;117730912,775000
RTSI;RTSI;2019-08-12;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1294,12;1296,69;1302,04;1287,47;434545430,188;0;0;2;152357794573;USD;117730912,775000


