"Date","Price","Open","High","Low","Change %"
"Dec 10, 2018","66.6529","66.4006","66.7000","66.1604","0.38%"
"Dec 11, 2018","66.3795","66.6529","66.6529","66.2264","-0.41%"
"Dec 12, 2018","66.3996","66.3795","66.5220","66.1418","0.03%"
"Dec 13, 2018","66.2312","66.3996","66.4812","66.1478","-0.25%"
"Dec 14, 2018","66.7450","66.2312","66.8029","66.2312","0.78%"
"Dec 17, 2018","66.7793","66.7450","66.7990","66.4451","0.05%"
"Dec 18, 2018","67.2727","66.7793","67.3290","66.6202","0.74%"
"Dec 19, 2018","67.4674","67.2727","67.7793","66.9916","0.29%"
"Dec 20, 2018","68.3253","67.4674","68.6561","67.2525","1.27%"
"Dec 21, 2018","68.8671","68.3253","69.1230","67.8681","0.79%"
"Dec 24, 2018","68.5829","68.8671","68.8671","68.2091","-0.41%"
"Dec 25, 2018","68.6627","68.5829","68.9596","68.4193","0.12%"
"Dec 26, 2018","68.6993","68.6627","69.4638","68.6612","0.05%"
"Dec 27, 2018","69.5675","68.6993","69.7500","68.5650","1.26%"
"Dec 28, 2018","69.5012","69.5675","69.7009","69.2498","-0.10%"
"Dec 29, 2018","69.8319","69.5012","69.9427","69.4057","0.48%"
"Jan 03, 2019","68.6577","69.8319","69.8324","68.5330","-1.68%"
"Jan 04, 2019","67.7368","68.6577","68.6800","67.5281","-1.34%"
"Jan 08, 2019","66.9003","67.7368","67.7508","66.7431","-1.23%"
"Jan 09, 2019","66.7328","66.9003","67.2288","66.6903","-0.25%"
